Title,Ranking,Genre,Actors,Runtime
Breaking Bad,9.5,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn",45
Better Call Saul,9.5,"Comedy, Crime, Drama","Bob Odenkirk, Rhea Seehorn, Patrick Fabian",60
Game of Thrones,9.5,"Adventure, Drama, Fantasy","Lena Headey, Peter Dinklage, Emilia Clarke",55
The World at War,9.4,"Documentary, History, War","Laurence Olivier, Anthony Eden, Averell Harriman",52
The Wire,9.4,"Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn",55
Sherlock,9.3,"Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Rupert Graves",90
True Detective,9.3,"Crime, Drama, Mystery","Matthew McConaughey, Woody Harrelson, Michelle Monaghan",55
Last Week Tonight with John Oliver,9.3,"Comedy, News, Talk-Show","John Oliver, David Kaye, Noel MacNeal",30
The Sopranos,9.3,"Crime, Drama","James Gandolfini, Lorraine Bracco, Edie Falco",55
Rick and Morty,9.2,"Animation, Adventure, Comedy, Sci-Fi","Justin Roiland, Chris Parnell, Spencer Grammer",22
Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama, Fantasy, Mystery, Romance","Ali Atay, Serkan Keskin, Cengiz Bozkurt",80
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure, Family, Fantasy, Mystery","Zach Tyler, Dee Bradley Baker, Mae Whitman",23
Firefly,9.2,"Adventure, Drama, Sci-Fi","Nathan Fillion, Gina Torres, Alan Tudyk",44
Arrested Development,9.1,Comedy,"Jason Bateman, Michael Cera, Portia de Rossi",22
House of Cards,9.1,Drama,"Kevin Spacey, Michael Gill, Robin Wright",55
Fargo,9.1,"Crime, Drama, Thriller","Billy Bob Thornton, Martin Freeman, Allison Tolman",53
Hagane no renkinjutsushi,9.0,"Animation, Action, Adventure, Drama, Sci-Fi","Iemasa Kayumi, Vic Mignogna, Romi Pak",24
Kaubôi bibappu: Cowboy Bebop,9.0,"Animation, Action, Adventure, Drama, Sci-Fi, Thriller","Kunihiro Mori, Ikurô Satô, Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara",24
Batman: The Animated Series,9.0,"Animation, Action, Adventure, Crime, Drama, Fantasy, Mystery, Romance, Sci-Fi, Thriller","Kevin Conroy, Loren Lester, Efrem Zimbalist Jr.",23
Desu nôto,9.0,"Animation, Crime, Drama, Fantasy, Horror, Mystery, Thriller","Mamoru Miyano, Brad Swaile, Vincent Tong",24
Friends,9.0,"Comedy, Romance","Jennifer Aniston, Courteney Cox, Lisa Kudrow",22
The Twilight Zone,9.0,"Fantasy, Horror, Mystery, Sci-Fi, Thriller","Rod Serling, Robert McCord, Jay Overholts",51
Monty Python's Flying Circus,9.0,"Comedy, Music","Graham Chapman, John Cleese, Terry Gilliam",1325
Top Gear,9.0,"Comedy, Talk-Show","Richard Hammond, Jeremy Clarkson, James May",60
Freaks and Geeks,9.0,"Comedy, Drama","Linda Cardellini, John Francis Daley, James Franco",44
Twin Peaks,9.0,"Drama, Mystery, Thriller","Kyle MacLachlan, Michael Ontkean, Mädchen Amick",47
Seinfeld,9.0,Comedy,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards",22
Shingeki no kyojin,9.0,"Animation, Action, Adventure, Drama, Fantasy, Horror","Marina Inoue, Yûki Kaji, Bryce Papenbrook",24
The Angry Video Game Nerd,8.9,Comedy,"James D. Rolfe, Kyle Justin, Mike Matei",0
Dexter,8.9,"Crime, Drama, Mystery, Thriller","Michael C. Hall, Jennifer Carpenter, David Zayas",55
The Simpsons,8.9,"Animation, Comedy","Dan Castellaneta, Nancy Cartwright, Julie Kavner",22
Rome,8.9,"Action, Drama, History, Romance, War","Kevin McKidd, Ray Stevenson, Polly Walker",90
Only Fools and Horses....,8.9,Comedy,"David Jason, Nicholas Lyndhurst, Roger Lloyd Pack",95
Kôdo giasu: Hangyaku no rurûshu R2,8.9,"Animation, Action, Drama, Mystery, Sci-Fi, Thriller","Adam Bobrow, Johnny Yong Bosch, Yuri Lowenthal",0
Pod prikritie,8.9,"Action, Crime, Drama","Vladimir Penev, Zahary Baharov, Mihail Bilalov",60
Oz,8.9,"Crime, Drama, Thriller","Gregory Dark, Ernie Hudson, J.K. Simmons, Lee Tergesen",55
House M.D.,8.9,"Drama, Mystery","Hugh Laurie, Omar Epps, Robert Sean Leonard",44
Wan pîsu: One Piece,8.9,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance","Tony Beck, Laurent Vernin, Mayumi Tanaka",22
Dragon Ball Z,8.9,"Animation, Action, Adventure, Fantasy, Sci-Fi, Thriller","Jôji Yanami, Masako Nozawa, Christopher Sabat",24
Impractical Jokers,8.9,"Comedy, Reality-TV","Joe Gatto, Brian Quinn, Sal Vulcano",30
Isler Güçler,8.9,Comedy,"Ali Akdal, Salih Bilen, Ahmet Dursun",86
Blackadder Goes Forth,8.9,"Comedy, History, War","Rowan Atkinson, Tony Robinson, Stephen Fry",175
QI,8.9,"Comedy, Game-Show","Stephen Fry, Alan Davies, Bill Bailey",30
Through the Wormhole,8.9,"Documentary, Family, Mystery","Morgan Freeman, Sean Carroll, Will Wright",60
Doctor Who,8.9,"Adventure, Drama, Family, Mystery, Sci-Fi","Peter Capaldi, Jenna Coleman, Matt Smith",45
Fawlty Towers,8.9,Comedy,"John Cleese, Prunella Scales, Andrew Sachs",30
The Daily Show,8.9,"Comedy, News, Talk-Show","Jon Stewart, Stephen Colbert, John Oliver",30
Archer,8.9,"Animation, Action, Comedy","H. Jon Benjamin, Amber Nash, Chris Parnell",22
Gravity Falls,8.9,"Animation, Comedy, Family, Fantasy, Mystery","Kristen Schaal, Jason Ritter, Alex Hirsch",30
South Park,8.9,"Animation, Comedy","Trey Parker, Matt Stone, Isaac Hayes",22
